fullname,age,department,salary,marital_status,gender
Kimberly Martin,35,Finance,77590.79,married,female
Victoria Jordan,33,Operations,111662.22,single,female
Holly Johnson,26,Human Resource,91146.85,single,female
David Johnson,18,Operations,73535.86,single,female
Hannah Bender,64,Finance,59220.71,married,male
Lisa White,38,Finance,79825.15,single,female
Jason Williams,46,Finance,64923.74,married,female
Thomas Brooks,34,Information Technology,45763.66,single,female
Heather Hanson,23,Human Resource,65913.49,married,male
Ms. Sarah Moody,53,Finance,77406.12,married,female
Robert Rios,43,Finance,33686.34,single,female
Michael Stanley,21,Information Technology,37139.57,married,female
Jose Guzman,51,Operations,66348.65,married,male
Mark Arnold,22,Human Resource,45497.33,married,male
Brooke Schmidt,48,Human Resource,63822.1,single,female
Danielle Jones,51,Finance,38592.06,single,female
David Harmon,32,Finance,77312.1,married,male
David Mayo,63,Operations,42424.64,married,female
Amber Richards,59,Finance,61009.05,married,male
Rebecca Knight,31,Human Resource,56133.44,married,male
Christopher Hudson,40,Information Technology,47051.87,married,female
Misty Griffin,25,Human Resource,92469.61,married,female
Sheena Vasquez,44,Finance,84764.35,single,male
Alexander Hansen,18,Operations,59824.31,single,female
Jason Bell,53,Finance,114361.77,single,female
Darlene White,45,Information Technology,87631.86,married,male
Michael Underwood,64,Marketing,58676.64,married,male
Steven Edwards,48,Operations,78562.61,single,female
Carrie Hill,50,Finance,52428.83,married,female
Heather Garcia,33,Marketing,42271.45,married,male
Joseph Bowman,42,Human Resource,58354.57,single,female
Scott Ramirez,57,Information Technology,106646.69,married,male
Gregory Valdez,58,Information Technology,55445.63,single,male
Katherine Martin,32,Operations,115461.97,married,male
Tiffany Fuller,24,Marketing,30324.39,married,female
Bruce Roth,60,Human Resource,103511.04,married,male
Scott Baker,24,Information Technology,114259.11,single,female
Destiny Saunders,60,Marketing,76913.81,single,male
Michael Hamilton,26,Information Technology,92239.96,single,female
Tiffany Lawrence,56,Marketing,107925.53,married,female
Stephen King,37,Finance,103984.45,married,male
Lisa Navarro,25,Operations,80829.63,married,male
Daniel Wilkinson,42,Marketing,93802.77,married,male
Mr. Thomas Leonard,55,Human Resource,60168.29,single,female
Cory Ray,32,Operations,78846.86,married,female
Daniel Hill,40,Marketing,47324.59,married,male
William Brown,62,Operations,78462.76,single,male
Courtney Marshall,50,Operations,36363.35,single,female
Rachel Pierce,62,Marketing,40445.92,married,male
Ashley Jacobson,26,Marketing,115080.61,married,female
Jacob Oliver,25,Human Resource,35653.25,single,female
Richard Hill,41,Human Resource,94343.85,married,male
Susan Stone,40,Finance,56152.33,single,female
John Chavez,62,Finance,111601.23,married,male
Michael Wells,37,Information Technology,67021.46,single,female
Nicolas Tucker,42,Marketing,117476.43,single,female
Taylor Noble,30,Human Resource,54080.66,married,male
Mariah Benson,49,Operations,109069.48,married,male
Deborah Woodard,30,Finance,44082.84,single,male
Ryan Davis,28,Human Resource,82276.84,single,male
Michael Brooks,48,Operations,68042.03,married,female
Nicole Webb,34,Information Technology,64314.47,single,male
Thomas Baird,64,Information Technology,105745.01,single,male
Vanessa Arnold,28,Marketing,60228.33,single,male
Thomas Fuentes DDS,18,Information Technology,55249.08,single,male
Bethany Pace,42,Marketing,93806.19,single,female
James Hernandez,58,Marketing,72881.59,married,female
Joshua Ruiz,25,Marketing,76044.33,married,female
Melissa Smith,35,Operations,83920.77,married,male
Jeremy Santana,61,Information Technology,113950.26,single,male
Christina Daniels,23,Information Technology,53348.97,married,female
Julia Robertson,60,Information Technology,44653.62,single,male
Jason Gross,29,Operations,106465.95,married,female
Dawn Thomas,59,Finance,119320.91,single,male
Deborah Lewis,19,Finance,75139.43,married,male
Mr. Ryan Smith,50,Finance,38329.89,single,female
Robert White,18,Human Resource,46176.73,married,male
Chad Williams,24,Marketing,72265.86,married,male
Tina Conner,38,Operations,83929.82,married,male
Sophia Miller,32,Information Technology,116270.2,married,male
Beverly Mercer,65,Marketing,72289.8,married,male
James Price,35,Operations,91584.83,married,male
Tonya Brady,35,Finance,74778.95,married,male
Deanna Kennedy,60,Operations,35838.94,married,female
Brian Mcbride,30,Information Technology,112532.07,married,male
Stephen Robinson,21,Finance,31808.16,single,male
Sabrina Smith,50,Marketing,99283.81,married,female
Michael Peterson,30,Marketing,108983.57,married,female
Roger Decker,41,Finance,88025.61,single,male
William Williams,26,Human Resource,102918.57,married,male
Valerie Thompson,40,Information Technology,76771.42,single,female
Kelly Curtis,30,Operations,83434.69,single,male
James Salinas,64,Information Technology,104141.7,single,female
Daniel Sampson,40,Human Resource,57534.58,single,male
Christopher Stanley,58,Operations,30825.69,married,female
Christina Zuniga,27,Marketing,65811.29,married,male
Kristin Pope,38,Human Resource,71321.1,married,male
Dawn Rodriguez,34,Operations,100617.06,single,female
Sara Richardson,56,Finance,98565.24,married,female
James Young,19,Operations,117370.48,single,male
John Stout,19,Marketing,33567.47,married,female
Justin Black,35,Marketing,89779.07,single,female
Katherine Richardson,61,Information Technology,101691.99,single,male
Brandon Nunez,24,Human Resource,75885.45,single,male
Alan Gilbert,52,Finance,115499.51,married,male
Matthew Soto,56,Information Technology,111818.87,married,male
Rachael Johnson,61,Human Resource,109805.22,single,female
Michelle Ortega,44,Operations,72300.86,married,male
Nicholas Johnson,25,Information Technology,69091.7,married,male
Mark Perkins,52,Finance,100991.2,single,female
Stephen Riley,52,Operations,34681.98,single,male
Gary Scott,25,Human Resource,85821.26,married,male
Jacqueline Frazier,21,Information Technology,37364.82,single,male
Steve Rich,31,Operations,34749.2,married,female
Rachel Rocha,49,Operations,66169.45,married,female
Timothy Arnold,61,Information Technology,97484.19,married,male
Alexandra Johnson,51,Marketing,40472.14,married,female
Antonio Coffey,29,Operations,53353.88,single,female
Tracey Hunter MD,35,Information Technology,111293.71,married,male
Dustin Carter,30,Operations,78006.69,married,female
Carolyn Cook,29,Marketing,35461.08,married,female
Jack Green,25,Operations,69829.98,married,male
Jesse Hernandez,53,Information Technology,46615.67,single,female
Joseph Woods,20,Information Technology,52956.48,single,male
Susan Peterson,36,Marketing,70649.36,married,male
Emily Hanna,34,Information Technology,41130.63,married,male
Dennis Knapp,62,Finance,53527.62,married,male
Curtis Moore,37,Finance,53411.58,married,male
Lynn Rice,20,Information Technology,103690.61,single,female
Tim Guerra,27,Marketing,53016.77,single,female
Ian Jones,53,Information Technology,111354.1,single,female
Austin Garcia,31,Finance,114849.81,married,male
Sandra Davis,27,Operations,88700.62,married,male
Bradley Griffin,62,Finance,53263.45,married,male
John Jones,60,Information Technology,90544.27,single,female
Cody Santiago,33,Marketing,104337.07,married,male
Christopher Nguyen,53,Finance,62386.97,married,female
Cynthia Cook,55,Information Technology,65043.74,single,male
Julie Jones,20,Finance,68083.38,married,female
Richard Dudley,23,Human Resource,59863.65,married,male
Jared Smith,22,Finance,85085.39,single,female
Melissa Larson,65,Human Resource,78766.87,single,female
Joshua Lee,64,Information Technology,87588.69,single,male
Brittany Ryan DDS,32,Finance,36190.03,married,female
Stephen Cordova,20,Human Resource,111753.66,married,male
Charles French,49,Human Resource,52246.37,married,male
Elizabeth Price,32,Operations,49211.49,single,female
Leon Ramsey,28,Finance,41909.48,married,male
Todd Fowler,49,Operations,52589.86,married,female
Brian Todd,22,Operations,58388.61,single,male
Kimberly Turner,41,Marketing,58843.81,married,female
Steven Wilson,19,Information Technology,89767,single,female
Jamie Bowers,51,Human Resource,90454.11,single,male
Jacob Bridges,30,Operations,113498.73,married,male
Kristin Sanchez,51,Human Resource,64890.03,married,male
Laurie Brown,52,Human Resource,106162.76,single,female
Daniel Jimenez,19,Human Resource,92708.05,single,female
Thomas Mckinney DDS,55,Human Resource,108907.3,married,female
Julia Hunt,22,Marketing,85844.09,single,female
Angela Williams,34,Human Resource,117523.59,married,female
Jeremy Mercado,43,Marketing,31379.15,single,female
Tyler Burton,34,Finance,54608.89,married,female
Travis Silva,35,Finance,118909.26,single,female
Reginald Berry,64,Marketing,76252.79,single,female
Shane Wong,63,Operations,37641.81,married,male
Jonathan Phillips,24,Information Technology,60198.91,single,female
Michelle Ortega,40,Marketing,100891.12,married,female
Christopher Patterson,26,Human Resource,42038.09,single,female
Ryan Contreras,63,Finance,32501.32,single,female
Derek West,65,Finance,89839.01,single,male
David Mendez,54,Information Technology,118533.77,married,male
Lisa King,49,Marketing,98469.62,married,male
Angela Pierce,27,Operations,80387.87,single,male
James Walker,56,Finance,100775.41,married,female
Joshua Arnold,27,Marketing,115622.15,married,female
Jimmy Johnson,37,Human Resource,75100.86,married,female
Rebecca Morris,28,Marketing,54511.14,single,male
Joseph Hall,45,Finance,58749.51,single,female
Andrew Mcgee,61,Human Resource,36828.81,married,female
Margaret Wall,37,Marketing,67913.85,single,female
Mason Norris,22,Operations,31720.5,married,female
Jeffrey Ashley,23,Marketing,86379.2,single,male
Sarah Allen,18,Operations,81926.02,single,male
Anne Doyle,57,Information Technology,94654.5,married,male
Jesse Warren,27,Information Technology,101744.97,single,female
Christopher Schmidt,36,Marketing,71689.7,single,male
Rose Skinner PhD,64,Operations,35715.79,married,male
Sean Christian,43,Operations,94913.36,single,male
Lori Lopez,24,Human Resource,69469.13,married,male
Susan Dunn,38,Finance,74208.72,single,female
Sarah Brooks,57,Information Technology,115488.95,single,male
Heather Cannon,24,Marketing,111526.96,single,male
Kristy Martinez,32,Marketing,118488.48,married,male
James Smith,58,Information Technology,38735.96,single,male
Paula Woods,61,Information Technology,119682.12,married,female
Corey Brooks,44,Operations,38619.22,single,female
Anne Snyder,27,Operations,78392.75,married,female
Amy Cole,28,Finance,49972.66,married,male
Elizabeth Thomas,60,Finance,65922.68,married,male
Miss Sarah Mendoza,20,Information Technology,33934.14,married,female
Kristin Hudson,26,Operations,79761.55,married,female
Katherine Brown,36,Operations,38809.09,married,male
Richard David,19,Marketing,64475.54,married,female
Victoria Lawson,61,Marketing,86491.4,single,female
Corey Vincent,32,Finance,42620.45,married,male
Brian Hogan,53,Human Resource,96933.16,married,female
Isabella Brown,49,Human Resource,43647.23,single,female
